Using GPU: b'NVIDIA GeForce RTX 2080 Ti'
This network will be trained using DT = 0.005
Numpy seed: 1118289516, Cupy seed: 998927211
Loading datasets...
Creating network...
Training...
Train | Epoch 7.4 | Loss: 29.79, Accuracy (%): 80.29, Silent labels (%): 0.01, Time (s): 13.14
Train | Epoch 7.5 | Loss: 29.67, Accuracy (%): 80.63, Silent labels (%): 0.01, Time (s): 16.41
Train | Epoch 7.6 | Loss: 29.73, Accuracy (%): 80.41, Silent labels (%): 0.0, Time (s): 19.68
Train | Epoch 7.7 | Loss: 29.53, Accuracy (%): 80.57, Silent labels (%): 0.0, Time (s): 22.95
Train | Epoch 7.8 | Loss: 29.84, Accuracy (%): 80.19, Silent labels (%): 0.01, Time (s): 26.22
Train | Epoch 7.9 | Loss: 30.22, Accuracy (%): 79.79, Silent labels (%): 0.0, Time (s): 29.47
Train | Epoch 8.0 | Loss: 29.7, Accuracy (%): 80.23, Silent labels (%): 0.0, Time (s): 32.73
Test | Epoch 8.0 | Loss: 30.87, Accuracy (%): 79.14, Learning rate: 0.003, Hidden layer 1 spike counts: 273.66, Output layer spike counts: 150.07, Hidden layer 1 silents (%): 0.5, Output layer silents (%): 0.0, Hidden layer 1 weights norm: 519.2, Output layer weights norm: 101.74, Time (s): 2.57
Best accuracy: 79.14%, Networks save to: best_model
Train | Epoch 8.1 | Loss: 29.05, Accuracy (%): 81.25, Silent labels (%): 0.0, Time (s): 3.35
Train | Epoch 8.2 | Loss: 29.05, Accuracy (%): 80.93, Silent labels (%): 0.0, Time (s): 6.6
Train | Epoch 8.3 | Loss: 29.22, Accuracy (%): 80.78, Silent labels (%): 0.0, Time (s): 9.85
Train | Epoch 8.4 | Loss: 28.59, Accuracy (%): 81.18, Silent labels (%): 0.0, Time (s): 13.09
Train | Epoch 8.5 | Loss: 29.55, Accuracy (%): 80.44, Silent labels (%): 0.0, Time (s): 16.32
Train | Epoch 8.6 | Loss: 28.58, Accuracy (%): 81.62, Silent labels (%): 0.0, Time (s): 19.55
Train | Epoch 8.7 | Loss: 29.2, Accuracy (%): 80.82, Silent labels (%): 0.0, Time (s): 22.78
Train | Epoch 8.8 | Loss: 29.57, Accuracy (%): 80.3, Silent labels (%): 0.0, Time (s): 26.01
Train | Epoch 8.9 | Loss: 29.27, Accuracy (%): 80.4, Silent labels (%): 0.0, Time (s): 29.23
Train | Epoch 9.0 | Loss: 29.21, Accuracy (%): 80.76, Silent labels (%): 0.0, Time (s): 32.46
