Using GPU: b'NVIDIA A40'
This network will be trained using DT = 0.003
Numpy seed: 1835284946, Cupy seed: 1795915461
Loading datasets...
Creating network...
Training...
Train | Epoch 7.3 | Loss: 30.64, Accuracy (%): 80.99, Silent labels (%): 0.01, Time (s): 9.17
Train | Epoch 7.4 | Loss: 30.92, Accuracy (%): 80.09, Silent labels (%): 0.04, Time (s): 12.25
Train | Epoch 7.5 | Loss: 30.34, Accuracy (%): 80.38, Silent labels (%): 0.01, Time (s): 15.35
Train | Epoch 7.6 | Loss: 30.41, Accuracy (%): 80.82, Silent labels (%): 0.0, Time (s): 18.46
Train | Epoch 7.7 | Loss: 29.97, Accuracy (%): 80.82, Silent labels (%): 0.0, Time (s): 21.59
Train | Epoch 7.8 | Loss: 30.68, Accuracy (%): 79.98, Silent labels (%): 0.0, Time (s): 24.73
Train | Epoch 7.9 | Loss: 30.25, Accuracy (%): 80.35, Silent labels (%): 0.0, Time (s): 27.88
Train | Epoch 8.0 | Loss: 30.3, Accuracy (%): 79.78, Silent labels (%): 0.0, Time (s): 31.01
Test | Epoch 8.0 | Loss: 30.9, Accuracy (%): 79.4, Learning rate: 0.003, Hidden layer 1 spike counts: 493.88, Output layer spike counts: 150.2, Hidden layer 1 silents (%): 0.5, Output layer silents (%): 0.0, Hidden layer 1 weights norm: 531.97, Output layer weights norm: 100.88, Time (s): 2.44
Best accuracy: 79.4%, Networks save to: best_model
Train | Epoch 8.1 | Loss: 29.44, Accuracy (%): 81.0, Silent labels (%): 0.01, Time (s): 2.87
Train | Epoch 8.2 | Loss: 29.25, Accuracy (%): 81.45, Silent labels (%): 0.0, Time (s): 5.98
Train | Epoch 8.3 | Loss: 29.53, Accuracy (%): 81.0, Silent labels (%): 0.0, Time (s): 9.09
Train | Epoch 8.4 | Loss: 29.51, Accuracy (%): 81.06, Silent labels (%): 0.0, Time (s): 12.2
Train | Epoch 8.5 | Loss: 30.01, Accuracy (%): 80.84, Silent labels (%): 0.01, Time (s): 15.3
Train | Epoch 8.6 | Loss: 29.91, Accuracy (%): 80.53, Silent labels (%): 0.0, Time (s): 18.42
Train | Epoch 8.7 | Loss: 29.81, Accuracy (%): 80.77, Silent labels (%): 0.02, Time (s): 21.53
Train | Epoch 8.8 | Loss: 29.65, Accuracy (%): 80.57, Silent labels (%): 0.0, Time (s): 24.66
Train | Epoch 8.9 | Loss: 29.82, Accuracy (%): 80.76, Silent labels (%): 0.01, Time (s): 27.77
Train | Epoch 9.0 | Loss: 29.15, Accuracy (%): 81.02, Silent labels (%): 0.0, Time (s): 30.9
Test | Epoch 9.0 | Loss: 30.67, Accuracy (%): 79.67, Learning rate: 0.003, Hidden layer 1 spike counts: 505.21, Output layer spike counts: 150.21, Hidden layer 1 silents (%): 0.5, Output layer silents (%): 0.0, Hidden layer 1 weights norm: 558.67, Output layer weights norm: 103.22, Time (s): 2.44
Best accuracy: 79.67%, Networks save to: best_model
Train | Epoch 9.1 | Loss: 28.84, Accuracy (%): 81.46, Silent labels (%): 0.0, Time (s): 2.78
Train | Epoch 9.2 | Loss: 28.64, Accuracy (%): 81.49, Silent labels (%): 0.01, Time (s): 5.89
Train | Epoch 9.3 | Loss: 28.94, Accuracy (%): 81.4, Silent labels (%): 0.01, Time (s): 9.01
Train | Epoch 9.4 | Loss: 28.62, Accuracy (%): 81.68, Silent labels (%): 0.01, Time (s): 12.12
Train | Epoch 9.5 | Loss: 28.36, Accuracy (%): 81.89, Silent labels (%): 0.0, Time (s): 15.24
Train | Epoch 9.6 | Loss: 28.99, Accuracy (%): 81.44, Silent labels (%): 0.0, Time (s): 18.37
Train | Epoch 9.7 | Loss: 29.26, Accuracy (%): 80.79, Silent labels (%): 0.0, Time (s): 21.5
Train | Epoch 9.8 | Loss: 28.8, Accuracy (%): 81.13, Silent labels (%): 0.0, Time (s): 24.63
Train | Epoch 9.9 | Loss: 29.01, Accuracy (%): 80.75, Silent labels (%): 0.0, Time (s): 27.77
Train | Epoch 10.0 | Loss: 28.82, Accuracy (%): 80.88, Silent labels (%): 0.02, Time (s): 30.91
Test | Epoch 10.0 | Loss: 29.84, Accuracy (%): 79.88, Learning rate: 0.003, Hidden layer 1 spike counts: 508.05, Output layer spike counts: 150.81, Hidden layer 1 silents (%): 0.5, Output layer silents (%): 0.0, Hidden layer 1 weights norm: 586.31, Output layer weights norm: 105.59, Time (s): 2.44
Best accuracy: 79.88%, Networks save to: best_model
Train | Epoch 10.1 | Loss: 28.45, Accuracy (%): 81.2, Silent labels (%): 0.0, Time (s): 2.77
Train | Epoch 10.2 | Loss: 27.76, Accuracy (%): 82.12, Silent labels (%): 0.01, Time (s): 5.91
